target,v1,v2,v3,v4,v5,v6,v7,v8,sample_type
4.84,276.9375,203.1875,381,341.25,414.375,217.6875,704.1875,4538.4375,lab 1
4.4,277.133333333333,201.6,402.4,379.733333333333,420.533333333333,220.6,762.266666666666,4472.66666666666,lab 1
4.83,269.933333333333,205.666666666666,393.2,371.333333333333,459.8,241.266666666666,755.733333333333,4699.6,lab 1
4.48,261.933333333333,199.8,367.4,349.866666666666,428.266666666666,221.066666666666,716.2,4567.8,lab 1
4.5,270,206.133333333333,386.333333333333,359.4,433.733333333333,237.866666666666,719.666666666666,4206.46666666666,lab 1
4.81,301.285714285714,219.214285714285,414.642857142857,397.714285714285,469.428571428571,254.642857142857,802.928571428571,4679.5,lab 1
4.62,259.2,203.333333333333,390.4,369.733333333333,425.266666666666,235.4,706.066666666666,4520.93333333333,lab 1
4.55,280.5625,199.625,381.6875,369.125,431.125,223.4375,757.8125,4722.5625,lab 1
4.57,264,202,401.4375,346.4375,412.5,208,705.1875,4768.25,lab 1
4.6,264.3125,201.5,389.125,360.3125,432.3125,232.5625,737.5,4566.0625,lab 1
4.68,278.666666666666,191.133333333333,379.866666666666,371.333333333333,451.933333333333,215.466666666666,754.133333333333,4676,lab 1
4.45,268.266666666666,202.4,383.066666666666,348.933333333333,409.866666666666,231.066666666666,701.8,4704.53333333333,lab 1
4.82,302.6,237.2,437.2,432.466666666666,532.266666666666,319.333333333333,853.466666666666,4111.73333333333,lab 1
4.59,272.333333333333,205,383.266666666666,366.666666666666,414,222.333333333333,711.333333333333,4701.46666666666,lab 1
4.37,265.875,205.375,380.125,355.75,415.9375,226.5,728.4375,4752.4375,lab 1
5.04,276.125,197.5625,389.5,365.625,444.8125,235.3125,723.0625,4359.4375,lab 1
4.57,279.125,209.125,395.875,372.3125,420.25,225.875,754.25,4622.1875,lab 1
4.94,253.1875,187.6875,374.875,349.375,430.5,219.75,728.25,4581.75,lab 1
4.53,288.466666666666,205.4,391.733333333333,378.733333333333,440.2,243.866666666666,728.733333333333,4417.73333333333,lab 1
4.48,284.4,201.466666666666,400.066666666666,359.666666666666,442.533333333333,243.6,715.266666666666,4653.33333333333,lab 1
4.79,261.555555555555,192.777777777777,378.166666666666,362.222222222222,428.722222222222,228.166666666666,703.944444444444,4589.61111111111,lab 1
4.67,256,201.375,393.9375,361.875,421.6875,223.875,726.6875,4589.0625,lab 1
4.38,273.8125,195.375,377.9375,357,419.8125,222.375,745.9375,4611.125,lab 1
4.44,274.6875,194.0625,389.5,358.5,426.3125,226.25,732.8125,4632.6875,lab 1
4.48,298.4375,201.5625,419.0625,396.75,467.875,239.75,801.5625,4495.4375,lab 1
4.63,261.866666666666,209.4,394.933333333333,364.733333333333,421.4,225.466666666666,738.866666666666,4526.8,lab 1
4.68,298.125,189.3125,382.6875,363.5,419.4375,219,694.375,4801.1875,lab 1
4.62,276.6,195.333333333333,383.4,348.933333333333,433.266666666666,220.133333333333,714.466666666666,4700.4,lab 1
4.71,267,198.5,418.375,365.375,454.5,244.375,737.9375,4648.25,lab 1
4.88,286.6875,185.25,371.125,342.625,409.5,212.4375,697.8125,4431.4375,lab 1
4.56,277.357142857142,209.428571428571,407.785714285714,386.357142857142,445.857142857142,232.785714285714,754,4773,lab 1
4.62,290.2,213.466666666666,393,381.266666666666,444.133333333333,231,760.666666666666,4761.33333333333,lab 1
4.89,266.375,186.625,389.3125,381.625,425.9375,222.5625,754.5625,4806.625,lab 1
4.63,250.1875,197,389.375,358,421.5625,219.75,728.25,4747.3125,lab 1
4.87,285.142857142857,193.928571428571,388.785714285714,371.785714285714,427.571428571428,221.857142857142,748.642857142857,4613.71428571428,lab 1
4.76,297.125,200.6875,396.5,368.6875,429.4375,222.375,711.75,4592.625,lab 1
4.76,256.6875,204.375,395.0625,367.5625,420.4375,233.0625,737.9375,4528.3125,lab 1
4.77,273.625,190.8125,395.25,357.1875,441.8125,229.9375,747.8125,4609.0625,lab 1
4.45,290.733333333333,211.4,386.4,361.6,421.666666666666,236.333333333333,725,4557.86666666666,lab 1
4.96,271.6875,186.5625,407.125,366.8125,443,216.625,732.5625,4756.3125,lab 1
4.64,293.2,205.733333333333,393.066666666666,377,445,241.666666666666,751.2,4714,lab 1
4.53,274.533333333333,187.133333333333,397.533333333333,379.866666666666,449.066666666666,235.8,775.266666666666,4703,lab 1
4.6,284.875,198.5625,412.1875,378.125,457.5625,246.25,745.375,4745.375,lab 1
4.63,332.5,254.4375,430.4375,419.375,475.3125,264.125,745.3125,4747.75,lab 1
4.66,333.714285714285,261.785714285714,461.142857142857,437.357142857142,492.428571428571,273.428571428571,791.142857142857,4780.92857142857,lab 1
4.62,360.666666666666,261.666666666666,452.4,443.2,490.6,274,787.333333333333,4784.66666666666,lab 1
4.67,332.6875,241.9375,422.3125,400.4375,463.125,248.6875,726.9375,4625.5,lab 1
4.8,327.8125,260.125,450,439.875,494.375,283.9375,789.8125,4508.875,lab 1
4.62,335.4,244.666666666666,448.466666666666,429,474.8,257.333333333333,815.666666666666,4633.46666666666,lab 1
4.66,332.4375,252.5,428.25,429.125,482.1875,255.5625,804,5086.375,lab 1
4.64,331.3125,252.3125,429,408.875,467.5625,256.75,779.0625,4971.4375,lab 1
4.64,342.875,265.4375,440.5,426.125,483.375,279.1875,788.5625,4973.25,lab 1
4.6,305.25,234.25,434.125,392.9375,458.5,252.375,741.25,4783.4375,lab 1
4.84,331.466666666666,244.866666666666,424.533333333333,404.333333333333,457.8,257.733333333333,769.733333333333,4871.66666666666,lab 1
4.71,341.5,263.5625,448.5,428.3125,497.5,292.4375,790.5625,4871,lab 1
4.96,326.133333333333,243.933333333333,424.6,394.4,454.4,251.8,771.866666666666,4859.46666666666,lab 1
4.89,316.6875,245.25,451.25,436.4375,500.1875,291.4375,807,4762.625,lab 1
4.66,326.4,231.4,424.8,401.8,452.8,253.2,734.2,5004,lab 1
4.79,526.466666666666,192.866666666666,575.933333333333,379.333333333333,488.6,218.4,658.066666666666,4377.33333333333,lab 2
4.93,504.357142857142,211.285714285714,626.642857142857,436.785714285714,502.071428571428,214.857142857142,806.857142857142,4836.57142857142,lab 2
5.03,529.4375,210.875,585.375,373.9375,476.5,218.5625,596.0625,4458.5,lab 2
4.72,541.875,209.5,589.25,374.6875,490.5,216.875,638.75,4467.875,lab 2
4.77,537.533333333333,207.733333333333,577.466666666666,365.666666666666,492.066666666666,218.333333333333,646.333333333333,4274.33333333333,lab 2
